university_id,course_id,faculty,course_name,degree_type,course_url,curriculum_supported,typical_offer,min_requirements,min_points_home,intl_buffer_points,required_subjects,recommended_subjects,ps_expected_signals,estimated_annual_cost_international,notes
KCL,KCL_ECON_BSC_2026,Faculty of Social Science & Public Policy,Economics BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/economics-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,38,1,A-level Maths A required; IB HL Maths grade 6 required (contextual IB text captured).,None.,Real economics curiosity (not “I like money”); quantitative comfort (math/stats examples); 1–2 specific readings/ideas + your take; one real-world mini-analysis (policy/market/inequality); evidence of independent thinking.,38300,Add intl competitiveness buffer: +1–2 IB points above typical; budget filter: tuition + living; Maths requirement is hard gate.
KCL,KCL_MGMT_BSC_2026,King’s Business School,Business Management BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/business-management-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,38,1,A-level Humanities/SocSci A required (excluding Modern Languages); IB HL Humanities/SocSci grade 6 required (contextual IB text captured).,None.,Leadership/initiative + impact (numbers/outputs); interest in organisations/markets with one concrete story; reflection on failure/learning; evidence you can handle theory + execution; ethical awareness in business decisions.,35800,Add intl buffer +1–2; budget filter; subject requirement (HL humanities/soc sci) is hard gate.
KCL,KCL_INTMGT_BSC_2026,King’s Business School,International Management BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/international-management-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,38,1,A-level Humanities/SocSci A required (excluding Modern Languages); (language requirement also referenced on KCL page).,None.,"Global lens (cross-country/culture exposure or research); evidence you can work across teams/cultures; curiosity about international markets/trade/policy; one “systems” story (supply chain, geopolitics, regulation).",35800,Add intl buffer +1–2; budget filter; add “language requirement met?” boolean.
KCL,KCL_PPE_BA_2026,Faculty of Social Science & Public Policy,"Philosophy, Politics & Economics BA/BSc",BA/BSc,https://www.kcl.ac.uk/study/undergraduate/courses/philosophy-politics-and-economics-ba-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,38,1,None required.,None.,Ability to connect philosophy/politics/econ with one question; argumentative writing skill; balanced perspective + counterargument; one intellectual influence (book/paper/debate) used properly; concrete example of applying frameworks.,35800,Add intl buffer +1–2; budget filter; treat as broad/holistic course-fit heavy.
KCL,KCL_POL_BA_2026,Faculty of Social Science & Public Policy,Politics BA/BSc,BA/BSc,https://www.kcl.ac.uk/study/undergraduate/courses/politics-ba-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,38,1,None required.,Essay-focused subjects.,Political curiosity grounded in evidence; engagement with debates/issues (not just opinions); writing that shows nuance; evidence of reading (think tanks/books/journals); one research-y project or article you wrote.,35800,Add intl buffer +1–2; budget filter; reward essay-based subjects + writing quality.
KCL,KCL_SOC_BA_2026,Faculty of Social Science & Public Policy,Social Sciences BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/social-sciences-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAB; IB: 35 (17 HL). Contextual: BBB / 32 (15 HL).,A-Levels: AAB; IB: 35 (17 HL). Contextual: BBB / 32 (15 HL).,35,1,None required.,At least one social science subject.,Systems thinking about society; interest in institutions/inequality/policy; evidence of reading; one mini-research or community project; clarity on what “social science” lens you want (methods/ideas).,27100,Add intl buffer +1–2; budget filter; good “adjacent/workaround” option for many social-science aspirants.
KCL,KCL_CS_BSC_2026,"Faculty of Natural, Mathematical & Engineering Sciences",Computer Science BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/computer-science-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*A*A; IB: 39 (20 HL). Contextual: AAA / 36 (18 HL).,A-Levels: A*A*A; IB: 39 (20 HL). Contextual: AAA / 36 (18 HL).,39,1,A-level Maths or Further Maths A required; IB HL Maths/Further Maths grade 6 required.,Computing/Computer Science.,Concrete build evidence (projects/repos/competitions); problem-solving mindset; math maturity; one technical deep dive explained simply; ethics/security awareness (bonus).,35800,Add intl buffer +1–2; budget filter; strong maths gate; value portfolio evidence heavily.
KCL,KCL_AI_BSC_2026,"Faculty of Natural, Mathematical & Engineering Sciences",Artificial Intelligence BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/artificial-intelligence-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*A*A; IB: 39 (20 HL). Contextual: AAA / 36 (18 HL).,A-Levels: A*A*A; IB: 39 (20 HL). Contextual: AAA / 36 (18 HL).,39,1,A-level Maths or Further Maths A required; IB HL Maths/Further Maths grade 6 required (contextual IB text captured).,None.,Math maturity + evidence you think about models; projects touching data/ML/automation; comfort with ambiguity; one example of improving a system via iteration; awareness of AI limits/bias.,35800,Add intl buffer +1–2; budget filter; maths gate + AI ethics/bias signal bonus.
KCL,KCL_DS_BSC_2026,"Faculty of Natural, Mathematical & Engineering Sciences",Data Analytics for Business & Finance BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/data-analytics-for-business-and-finance-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,38,1,A-level Maths A required; IB HL Maths grade 6 required.,None.,Interest in data → decisions; proof of maths/stats application; one business/finance analysis you’ve done; clarity on why analytics (not generic “data is cool”); evidence you can communicate insights.,38300,Add intl buffer +1–2; budget filter; maths gate; verify if your course variant includes “year in industry” (fee here reflects that listing).
KCL,KCL_EE_BENG_2026,"Faculty of Natural, Mathematical & Engineering Sciences",Electronic Engineering BEng,BEng,https://www.kcl.ac.uk/study/undergraduate/courses/electronic-engineering-beng,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 36 (18 HL). Contextual: ABB / 33 (16 HL).,A-Levels: AAA; IB: 36 (18 HL). Contextual: ABB / 33 (16 HL).,36,1,A-level Maths A required; IB HL Maths grade 6 required (Maths AA HL referenced).,None.,Math/science strength; hands-on curiosity (electronics/robotics/builds); problem decomposition; resilience + iteration; interest in real-world engineering constraints.,35800,Add intl buffer +1–2; budget filter; HL Maths AA requirement should be treated as strict.
